시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수
성남시,2012,2012-12-03 05시,야간,월요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,승합차,대형,1,0,1,0,0
광주시,2012,2012-12-02 19시,야간,일요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,중형,화물차,소형,1,1,2,0,0
고양시,2012,2012-12-02 18시,야간,일요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1,0,1,0,0
파주시,2012,2012-12-01 18시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,소형,1,0,1,0,0
남양주시,2012,2012-12-01 15시,주간,토요일,차대차,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,화물차,대형,1,0,1,0,0
파주시,2012,2012-12-01 01시,야간,토요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,중형,1,0,1,0,0
안산시,2012,2012-11-30 10시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0
수원시,2012,2012-11-29 14시,주간,목요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,자전거,자전거,승합차,소형,1,0,1,0,0
화성시,2012,2012-11-29 12시,주간,목요일,차량단독,기타,안전운전 의무 불이행,교차로,교차로내,이륜차,소형,없음,없음,1,0,2,1,0
남양주시,2012,2012-11-29 01시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1,0,1,0,0
여주시,2012,2012-11-27 20시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
포천시,2012,2012-11-27 17시,주간,화요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,소형,화물차,대형,1,0,2,0,1
광명시,2012,2012-11-27 15시,주간,화요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,중형,자전거,자전거,1,0,1,0,0
안성시,2012,2012-11-27 10시,주간,화요일,차대차,측면충돌,안전거리 미확보,단일로,기타단일로,자전거,자전거,승합차,대형,1,0,1,0,0
고양시,2012,2012-11-27 06시,주간,화요일,차대차,진행중 추돌,신호위반,교차로,교차로내,화물차,중형,화물차,소형,1,0,1,0,0
수원시,2012,2012-11-26 09시,주간,월요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승합차,중형,보행자,보행자,1,0,1,0,0
이천시,2012,2012-11-25 00시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,1,0,1,0,0
구리시,2012,2012-11-24 15시,주간,토요일,차대사람,보도통행중,보행자 보호의무 위반,교차로,교차로내,화물차,경형,보행자,보행자,1,0,1,0,0
안성시,2012,2012-11-24 04시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,승용차,소형,5,1,6,0,0
부천시,2012,2012-11-23 23시,야간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,이륜차,중형,없음,없음,1,0,1,0,0
파주시,2012,2012-11-23 20시,야간,금요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,승합차,대형,1,0,1,0,0
포천시,2012,2012-11-23 06시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,중형,보행자,보행자,1,1,2,0,0
김포시,2012,2012-11-23 05시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,횡단보도상,승용차,소형,보행자,보행자,1,0,1,0,0
광명시,2012,2012-11-21 22시,야간,수요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,보행자,보행자,1,0,1,0,0
광주시,2012,2012-11-21 20시,야간,수요일,차대사람,차도통행중,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,1,0,1,0,0
광명시,2012,2012-11-21 03시,야간,수요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,1,0,1,0,0
